ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
ikp_form_54,ikp,1_come,k-arep-,k   +   a   r   +   e   p, Form in source: k-arep-lɨ.,ikpengpacheco2001[42]
kar_form_55,kar,1_come,w-opɨ-,w   +   o   +   p   ɨ, Form in source: woxsakóŋ̑.,hoff1968carib[304]
kax_form_56,kax,1_come,w-oohɨ-,w   +   o o   +   h   ɨ, Form in source: woohïwï.,pc[Spike Gildea]
mak_form_57,mak,1_come,w-ehə-,w   +   e   h   ə, Form in source: w-ejö-ne.,maquiritaricaceres2011[216]
PPek_form_58,PPek,1_come,w-(əd)epɨ-,w   +   ə   d   +   e   p   ɨ, Form in source: .,
PTir_form_59,PTir,1_come,w-əʔepɨ-,w   +   ə   ʔ   +   e   p   ɨ, Form in source: .,
PXin_form_60,PXin,1_come,w-(od)ebɨ-,w   +   o   d   +   e   b   ɨ, Form in source: .,
tri_form_61,tri,1_come,w-əepɨ-,w   +   ə   +   e   p   ɨ, Form in source: w-ëepï.,triomeira1999[294]
wbak_form_62,wbak,1_come,k-əewə-,k   +   ə   e   w   ə, Form in source: k-âewâ-li.,meiraDBwbakairi
aku_form_63,aku,1_cry,k-əət͡ʃena-,k   +   ə ə   t ͡ ʃ   e   n   a, Form in source: kə́ə̀čena.,gildea1994akuriyo[86]
hix_form_64,hix,1_cut_self,k-atama-,k   +   a   t   a   m   a, Form in source: katamano.,howard2001wrought[520]
ara_form_65,ara,1_dance,k-origu-,k   +   o   r   i   g   u, Form in source: k-origu-ny.,alves2017arara[150]
car_form_66,car,1_dance,j-eharaga-,j   +   e   h   a   r   a   g   a, Form in source: ʤi-eharaga-ɨ.,robayo2000avance[173]
mak_form_67,mak,1_eat,w-ətəwasint͡ʃə-,w   +   ə   t   ə   w   a   s   i   n   t ͡ ʃ   ə, Form in source: w-öt-öwasinchö-i.,maquiritaricaceres2011[180]
aku_form_68,aku,1_enter,k-əməmɨ-,k   +   ə   m   ə   m   ɨ, Form in source: kəməəʔmɨ.,gildea1994akuriyo[87]
hix_form_69,hix,1_fall,k-ehurka-,k   +   e   h   u   r   k   a, Form in source: kehurkehe.,howard2001wrought[150]
PWai_form_70,PWai,1_fall,k-eɸurka-,k   +   e   ɸ   u   r   k   a, Form in source: .,
wai_form_71,wai,1_fall,k-eɸɨrka-,k   +   e   ɸ   ɨ   r   k   a, Form in source: kepîrkesî.,howard2001wrought[150]
yuk_form_72,yuk,1_fall,j-ata-,j   +   a   t   a, Form in source: y-ata.,meira2006syntactic[139]
aku_form_73,aku,1_go,ə-təmɨ-,ə   +   t   ə   m   ɨ, Form in source: ə-təmɨ.,meira1998proto[112]
ara_form_74,ara,1_go,w-ɨdo-,w   +   ɨ   d   o, Form in source: w-ydoly.,alves2017arara[153]
bak_form_75,bak,1_go,u-tə-,u   +   t   ə, Form in source: ū́ta.,von1892bakairi[374]
car_form_76,car,1_go,wɨ-təmə-,w   ɨ   +   t   ə   m   ə, Form in source: wɨ-təmə.,meira1998proto[112]
ebak_form_77,ebak,1_go,u-də-,u   +   d   ə,Confirmed by pinto2022bakairi Form in source: u-dâ-ly; u-dâ-0; u-dâ-aki.,meiraDBebakairi
hix_form_78,hix,1_go,ɨ-to-,ɨ   +   t   o, Form in source: ɨtono.,hixkaryanaderby1985[70]
ikp_form_79,ikp,1_go,k-aran-,k   +   a   r   a   n, Form in source: k-aran-tʃi.,ikpengpacheco2001[80]
kar_form_80,kar,1_go,wɨ-ʔ-,w   ɨ   +   ʔ, Form in source: wïxsa.,hoff1968carib[168]
mak_form_81,mak,1_go,w-ɨtə-,w   +   ɨ   t   ə, Form in source: w-ütö-a.,maquiritaricaceres2011[180]
PPek_form_82,PPek,1_go,w-ɨdən-,w   +   ɨ   d   ə   n, Form in source: .,
PTir_form_83,PTir,1_go,w-ɨtəmɨ-,w   +   ɨ   t   ə   m   ɨ, Form in source: .,
PWai_form_84,PWai,1_go,wɨ-tom-,w   ɨ   +   t   o   m, Form in source: .,
PXin_form_85,PXin,1_go,w-ɨdon-,w   +   ɨ   d   o   n, Form in source: .,
tri_form_86,tri,1_go,wɨ-tən-,w   ɨ   +   t   ə   n, Form in source: wï-tën.,triomeira1999[292]
wai_form_87,wai,1_go,kɨw-tom-,k   ɨ   +   w   +   t   o   m,"The w could potentially also be a reflex of the Sa class marker *w-, rather than 1Sa *w-. Form in source: kî-wtom-o.",waiwaihawkins1998[85]
way_form_88,way,1_go,wɨ-təm-,w   ɨ   +   t   ə   m, Form in source: wïtëm.,wayanatavares2005[195]
wbak_form_89,wbak,1_go,u-də-,u   +   d   ə,Confirmed by pinto2022bakairi Form in source: u-dâ-li; u-dâ-0; u-dâ-raki.,meiraDBwbakairi
yuk_form_90,yuk,1_go,∅-to-,∅   +   t   o, Form in source: to.,meira2006syntactic[139]
aku_form_91,aku,1_go_down,p-ɨtə-,p   +   ɨ   t   ə, Form in source: pɨ́ɨ̀ʔtəpa.,gildea1994akuriyo[84]
ara_form_92,ara,1_go_down,w-iptoŋ-,w   +   i   p   t   o   +   ŋ, Form in source: w-iptongry.,alves2017arara[153]
bak_form_93,bak,1_go_down,k-ɨtəgɨ-,k   +   ɨ   t   ə   +   g   ɨ, Form in source: kχ-itaké-he.,von1892bakairi[137]
car_form_94,car,1_go_down,j-ehɨtə-,j   +   e   h   ɨ   t   ə, Form in source: y-ejïtë-e.,pc[David Felipe Guerrero]
ebak_form_95,ebak,1_go_down,∅-ɨtəgɨ-,∅   +   ɨ   t   ə   g   ɨ, Form in source: 0-ytâgy-agi.,meiraDBebakairi
ikp_form_97,ikp,1_go_down,∅-iptoŋ-,∅   +   i   p   t   o   +   ŋ, Form in source: ∅-iptoŋ-tʃi.,pc[Fael Ikpeng]
PPek_form_98,PPek,1_go_down,w-ɨptə(CV)-,w   +   ɨ   p   t   ə   +   �   V, Form in source: .,
PTir_form_99,PTir,1_go_down,p-ɨhtə-,p   +   ɨ   h   t   ə, Form in source: .,
PXin_form_101,PXin,1_go_down,w-iptoŋ-,w   +   i   p   t   o   +   ŋ, Form in source: .,
tri_form_102,tri,1_go_down,p-ɨhtə-,p   +   ɨ   h   t   ə, Form in source: p-ɨhtə.,meira1998proto[116]
wbak_form_104,wbak,1_go_down,∅-itəge-,∅   +   i   t   ə   g   e,<gue> is <ge> in published work. Form in source: 0-itâgue-ragui.,meiraDBwbakairi
yuk_form_105,yuk,1_go_down,j-ewtu-,j   +   e   w   t   u,ewuhtu only looks partially cognate. Form in source: aw y-éwtu.,meira2003primeras
ebak_form_106,ebak,1_go_up,k-əku-,k   +   ə   k   u, Form in source: k-əku.,meira2003bakairi[4]
aku_form_107,aku,1_learn,k-əempa-,k   +   ə   e   m   p   a, Form in source: kə̀ém̀pà.,gildea1994akuriyo[82]
aku_form_108,aku,1_lie_down,t͡ʃ-etonema-,t ͡ ʃ   +   e   t   o   n   e   m   a, Form in source: šetóòʔnema.,gildea1994akuriyo[84]
aku_form_109,aku,1_run,k-ətajiŋka-,k   +   ə   t   a   j   i   ŋ   k   a, Form in source: kə̀táyiŋkae.,gildea1994akuriyo[85]
ikp_form_110,ikp,1_run,k-aranme-,k   +   a   r   a   n   m   e, Form in source: k-aranme-lɨ.,ikpengpacheco2001[52]
aku_form_111,aku,1_say,wɨ-ka-,w   ɨ   +   k   a, Form in source: wɨ-ka.,meira1998proto[113]
ara_form_112,ara,1_say,wɨ-ge-,w   ɨ   +   g   e, Form in source: wy-geny.,alves2017arara[153]
bak_form_113,bak,1_say,u-ge-,u   +   g   e, Form in source: u-ɣépa.,von1892bakairi[131]
car_form_114,car,1_say,∅-ka-,∅   +   k   a, Form in source: ka-e.,pc[David Felipe Guerrero]
ebak_form_115,ebak,1_say,u-ge-,u   +   g   e,"Sometimes spelled (?) as <gue> in morphs and comments, but no labial element is mentioned in any publications. Form in source: u-ge-ly; u-ge-aki; u-ge-0.",meiraDBebakairi
ebak_form_116,ebak,1_say,u-ge-,u   +   g   e, Form in source: u-ge-lɨ.,pinto2022bakairi[170]
hix_form_117,hix,1_say,ɨ-ka-,ɨ   +   k   a, Form in source: ɨkano.,hixkaryanaderby1979[4]
ikp_form_118,ikp,1_say,ɨ-ge-,ɨ   +   g   e, Form in source: ɨ-ge-lɨ.,ikpengpacheco2001[209]
kar_form_119,kar,1_say,∅-ka-,∅   +   k   a, Form in source: ka:e.,hoff1968carib[168]
PPek_form_120,PPek,1_say,wɨ-ge-,w   ɨ   +   g   e, Form in source: .,
PTir_form_121,PTir,1_say,wɨ-ka-,w   ɨ   +   k   a, Form in source: .,
PWai_form_122,PWai,1_say,wɨ-ka-,w   ɨ   +   k   a, Form in source: .,
PXin_form_123,PXin,1_say,wɨ-ge-,w   ɨ   +   g   e, Form in source: .,
tri_form_124,tri,1_say,wɨ-ka-,w   ɨ   +   k   a, Form in source: wï-ka.,triomeira1999[294]
wai_form_125,wai,1_say,wɨ-ka-,w   ɨ   +   k   a, Form in source: wîî-k-e-kn̂e.,waiwaihawkins1998[71]
way_form_126,way,1_say,wɨ-ka-,w   ɨ   +   k   a, Form in source: wïka.,wayanatavares2005[195]
wbak_form_127,wbak,1_say,u-ge-,u   +   g   e,<gue> is <ge> in published work. Form in source: u-gue-di'e; u-gue-li; u-gue-raki.,meiraDBwbakairi
tri_form_129,tri,1_see_self,t-əene-,t   +   ə   e   n   e, Form in source: t-ə-ene-∅.,triocarlin2004[274]
aku_form_130,aku,1_sit_down,t͡ʃ-ewai-,t ͡ ʃ   +   e   w   a   i, Form in source: čewaiʔne.,gildea1994akuriyo[84]
aku_form_131,aku,1_sleep,k-əənɨkɨ-,k   +   ə ə   +   n   ɨ   k   ɨ,Length according to meira1998proto[184]. Form in source: kəʔnɨkɨ.,gildea1994akuriyo[87]
hix_form_132,hix,1_sleep,kɨ-nɨkɨ-,k   ɨ   +   n   ɨ   k   ɨ," Form in source: kɨ-nɨkɨ-no, dɨkno.",hixkaryanaderby1985[189]
PTir_form_133,PTir,1_sleep,t-əənɨkɨ-,t   +   ə ə   +   n   ɨ   k   ɨ, Form in source: .,
PWai_form_134,PWai,1_sleep,kɨ-wɨnɨkɨ-,k   ɨ   +   w   ɨ   n   ɨ   k   ɨ, Form in source: .,
tri_form_135,tri,1_sleep,t-əənɨkɨ-,t   +   ə ə   +   n   ɨ   k   ɨ, Form in source: t-ëënïkï.,triomeira1999[294]
wai_form_136,wai,1_sleep,kɨ-wɨnɨkɨ-,k   ɨ   +   w   ɨ   n   ɨ   k   ɨ," Form in source: kî-wînîkî-o, kîwînko.",waiwaihawkins1998[30]
yuk_form_137,yuk,1_sleep,jɨ-nɨ-,j   ɨ   +   n   ɨ,"As all verbs except to ‘to go’, this verb is analyzed as V-initial by meira2003primeras, but unprefixed forms are consistently C-initial. Form in source: yʉnʉna.",largo2011yukpa[76]
aku_form_138,aku,1_stay_back,t͡ʃ-ekɨrɨka-,t ͡ ʃ   +   e   k   ɨ   r   ɨ   k   a, Form in source: šekɨ́ɨrɨka.,gildea1994akuriyo[79]
aku_form_139,aku,1_talk,k-əturu-,k   +   ə   t   u   r   u, Form in source: kə̀túùrú.,gildea1994akuriyo[86]
tri_form_140,tri,1_talk,t-əturu-,t   +   ə   t   u   r   u, Form in source: t-ëturu.,triomeira1999[292]
way_form_141,way,1_talk,w-əturu-,w   +   ə   t   u   r   u, Form in source: w-ëtulu.,wayanatavares2005[208]
aku_form_142,aku,1_tremble,k-əiwa-,k   +   ə   i   w   a, Form in source: kéìʔwai.,gildea1994akuriyo[84]
hix_form_143,hix,1_walk,k-atarʲeknohɨ-,k   +   a   t   a   r ʲ   e   k   n   o   h   ɨ, Form in source: katařeknohyaha.,howard2001wrought[513]
yuk_form_144,yuk,1_wash_self,j-otum-,j   +   o   t   u   m, Form in source: yotumna.,largo2011yukpa[72]
aku_form_145,aku,1_yawn,t͡ʃ-entapo-,t ͡ ʃ   +   e   n   t   a   p   o, Form in source: šentapoe.,gildea1994akuriyo[77]
tri_form_146,tri,1_yawn,s-entapo-,s   +   e   n   t   a   p   o, Form in source: s-entapo.,triomeira1999[292]
mac_stem_0,mac,come,ipɨ,i   p   ɨ,,macushiabbott1991[32]
