"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"come","DETRZ+come","kar",2,"m-o+pɨ-","2sa","hoff1968carib[416]","mo:pïi",
"fall",,"hix",1,"k-ehurka-","k","howard2001wrought[150]","kehurkehe",
"fall",,"hix",2,"m-ehurka-","2sa","howard2001wrought[150]","mehurkehe",
"fall",,"hix",3,"ɲ-ehurka-","3sa","howard2001wrought[150]","ñehurkehe",
"fall",,"hix","1+2","t-ehurka-","kut","howard2001wrought[150]","tehurkehe",
"fall",,"wai",1,"k-eɸɨrka-","k","howard2001wrought[150]","kepîrkesî",
"fall",,"wai",2,"m-eɸɨrka-","2sa","howard2001wrought[150]","mepîrkesî",
"fall",,"wai",3,"ɲ-eɸɨrka-","3sa","howard2001wrought[150]","ñepîrkesî",
"fall",,"wai","1+2","t͡ʃ-eɸɨrka-","kut","howard2001wrought[150]","čepîrkesî",
"be_afraid",,"hix",1,"k-oserʲehɨ-","k","howard2001wrought[510]","koseřehyano",
"be_afraid",,"hix",2,"m-oserʲehɨ-","2sa","howard2001wrought[511]","moseřehyano",
"be_afraid",,"hix",3,"n-oserʲehɨ-","3sa","howard2001wrought[511]","noseřehyano",
"be_afraid",,"hix","1+2","t-oserʲehɨ-","kut","howard2001wrought[511]","toseřehyano",
"walk",,"hix",1,"k-atarʲeknohɨ-","k","howard2001wrought[513]","katařeknohyaha",
"walk",,"hix",2,"m-atarʲeknohɨ-","2sa","howard2001wrought[513]","matařeknohyano",
"walk",,"hix",3,"n-atarʲeknohɨ-","3sa","howard2001wrought[513]","natařeknohyano",
"walk",,"hix","1+2","t-atarʲeknohɨ-","kut","howard2001wrought[513]","tatařeknohyaha",
"cut_self",,"hix",1,"k-atama-","k","howard2001wrought[520]","katamano",
"cut_self",,"hix",2,"m-atama-","2sa","howard2001wrought[520]","matamano",
"cut_self",,"hix",3,"n-atama-","3sa","howard2001wrought[520]","natamano",
"cut_self",,"hix","1+2","t-atama-","kut","howard2001wrought[520]","tatamačoko",
"bathe_intr","DETRZ1+bathe_1","ikp",1,"∅-i+p-","1w","ikpengpacheco1997[68]","i-p-txi",
"come","DETRZ+come","ikp",3,"∅-ar+ep-",,"ikpengpacheco2001[118]","∅-arep-lɨ",
"be","be_2","ikp",1,"∅-et͡ʃi-","1w","ikpengpacheco2001[139]","etʃi",
"say","say","ikp",1,"ɨ-ge-","1w","ikpengpacheco2001[209]","ɨ-ge-lɨ",
"say","say","ikp",3,"aŋ-k-","3sa","ikpengpacheco2001[279]","ankang",
"come","DETRZ+come","ikp",2,"m-ar+ep-","2sa","ikpengpacheco2001[283]","mareptxan",
"say","say","ikp",2,"mɨ-ge-","2sa","ikpengpacheco2001[288]","mïgangpa",
"come","DETRZ+come","ikp",1,"k-ar+ep-","k","ikpengpacheco2001[42]","k-arep-lɨ",
"run",,"ikp",1,"k-aranme-","k","ikpengpacheco2001[52]","k-aranme-lɨ",
"run",,"ikp",2,"m-aranme-","2sa","ikpengpacheco2001[52]","m-aranme-lɨ",
"run",,"ikp",3,"∅-aranme-",,"ikpengpacheco2001[52]","∅-aranme-lɨ",
"run",,"ikp","1+2","kw-aranme-","kut","ikpengpacheco2001[52]","kwaranmelɨ",
"go","go","ikp",3,"∅-ero-",,"ikpengpacheco2001[54]","∅-ero-lɨ",
"go","go","ikp",1,"k-aran-","k","ikpengpacheco2001[80]","k-aran-tʃi",
"go","go","ikp",2,"m-aran-","2sa","ikpengpacheco2001[92]","m-aran-pɨnpe",
"bathe_intr","DETRZ1+bathe_1","car",1,"?-e+hɨ-","?","koch1908hiana","e̠hẹ́e-máni","Full form potentially features a supine suffix and what is described as a hortative suffix."
"say","say","yuk",1,"?-ka-","?","largo2011yukpa[63]","nʉkana","Full form is third person."
"wash_self",,"yuk",1,"j-otum-","1p","largo2011yukpa[72]","yotumna",
"wash_self",,"yuk",2,"m-otum-","2sa","largo2011yukpa[72]","motumna",
"wash_self",,"yuk",3,"n-otum-","3sa","largo2011yukpa[72]","notumna",
"sleep",,"yuk",1,"jɨ-nɨ-","1p","largo2011yukpa[76]","yʉnʉna","As all verbs except to ‘to go’, this verb is analyzed as V-initial by meira2003primeras, but unprefixed forms are consistently C-initial."
"sleep",,"yuk",2,"mɨ-nɨ-","2sa","largo2011yukpa[76]","mʉnʉna",
"sleep",,"yuk",3,"nɨ-nɨ-","3sa","largo2011yukpa[76]","nʉnʉna",
"come","come","mac","IMP","asiʔ-tɨ",,"macushiabbott1991[51]",,
"come","come","mak",3,"n-ehə-","3sa","maquiritaricaceres2011[143]","nehəa",
"come","come","mak",2,"m-ehə","2sa","maquiritaricaceres2011[158]",,
"come","come","mak","IMP","əʔ-kə-ʔre",,"maquiritaricaceres2011[161]",,
"eat",,"mak",1,"w-ətəwasint͡ʃə-","1w","maquiritaricaceres2011[180]","w-öt-öwasinchö-i",
"go","go","mak",1,"w-ɨtə-","1w","maquiritaricaceres2011[180]","w-ütö-a",
"go","go","mak",2,"m-ɨtə-","2sa","maquiritaricaceres2011[180]","m-ütö-a",
"go","go","mak",3,"n-ɨtə-","3sa","maquiritaricaceres2011[183]","n-ütö-a",
"come","come","mak",1,"w-ehə-","1w","maquiritaricaceres2011[216]","w-ejö-ne",
"arrive",,"mak",1,"w-əʔrɨ-","1w","maquiritaricaceres2011[223]","w-ö’dü-a",
"eat",,"mak",2,"m-ətəwasint͡ʃə-","2sa","maquiritaricaceres2011[223]","m-ööwasinchö-a=to",
"eat",,"mak",3,"n-ətəwasint͡ʃə-","3sa","maquiritaricaceres2011[223]","n-ööwasinchö-a=to",
"eat",,"mak","1+2","k-ətəwasint͡ʃə-","kut","maquiritaricaceres2011[223]","k-ööwasinchö-a=to",
"arrive",,"mak",3,"n-əʔrɨ-","3sa","maquiritaricaceres2011[224]","n-ö’dü-i",
"arrive",,"mak","1+2","k-əʔrɨ-","kut","maquiritaricaceres2011[224]","k-ö’dü-a=to",
"go","go","mak","IMP","ohone",,"maquiritaricaceres2011[230]",,
"come","come","mak","1+2","k-ehə-","k","maquiritaricaceres2011[237]","keʔhəʔtəne","unclear if lengthened or not (kɨt- or k-?)"
"be","be_2","mak",1,"w-ei-","1w","maquiritaricaceres2011[292]","weiya",
"be","be_2","mak",2,"m-ei-","2sa","maquiritaricaceres2011[292]","meiya",
"be","be_2","mak",3,"n-ei-","3sa","maquiritaricaceres2011[292]","neiya",
"be","be_2","mak","1+2","k-ei-","kut","maquiritaricaceres2011[292]","keiya",
"go","go","mak","1+2","k-ɨtə-","kut","maquiritaricaceres2011[363]","küttaano",
"arrive",,"mak",2,"m-əʔrɨ-","2sa","maquiritaricaceres2011[98]","m-ö’dü-i",
"go","go","pan","IMP","atjə",,"mattei1994diccionario[198]",,
"go","go","pan","NEG","atəpɨ",,"mattei1994diccionario[198]",,
"arrive",,"car",1,"ji-tuda-","1p","meira1998proto[106]","ji-tuda",
"arrive",,"car",2,"mɨ-tuda-","2sa","meira1998proto[106]","mɨ-tuda",
"arrive",,"car",3,"ni-tuda-","3sa","meira1998proto[106]","ni-tuda",
"arrive",,"car","1+2","kɨsi-tuda-","kut","meira1998proto[106]","kɨsi-tuda",
"go","go","aku",1,"ə-təmɨ-","1w","meira1998proto[112]","ə-təmɨ",
"go","go","aku",2,"mɨ-təmɨ-","2sa","meira1998proto[112]",,
"go","go","aku",3,"nɨ-təmɨ-","3sa","meira1998proto[112]",,
"go","go","aku","1+2","kɨ-təmɨ-","kut","meira1998proto[112]",,
"go","go","car",1,"wɨ-təmə-","1w","meira1998proto[112]","wɨ-təmə",
"go","go","car",2,"mɨ-təmə-","2sa","meira1998proto[112]",,
"go","go","car",3,"n-təmə-","3sa","meira1998proto[112]","dəmə",
"say","say","aku",1,"wɨ-ka-","1w","meira1998proto[113]","wɨ-ka",
