"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"sleep","DETRZ+sleep","tri",3,"n-əə+nɨkɨ-","3sa","triomeira1999[294]","n-ëënïkï",
"sleep","DETRZ+sleep","tri","1+2","kɨt-əə+nɨkɨ-","kut","triomeira1999[294]","kït-ëënïkï",
"go","go","tri","PTCP","tɨɨ-tə-e",,"triomeira1999[334]",,
"be","be_2","tri",1,"w-ei-","1w","triomeira1999[339]","w-ei",
"come","come","tri","IMP","oh-kə",,"triomeira1999[628]",,
"go","go","bak",2,"m-ɨtə-","2sa","von1892bakairi[112]","mǖíta",
"go","go","bak",3,"n-ətə-","3sa","von1892bakairi[112]","nǻta",
"go","go","bak","1+2","k-ɨtə-","kut","von1892bakairi[112]","kχíta",
"go","go","bak","IMP","ɨtə",,"von1892bakairi[112]","ī́ta","no -kə. Assumption that the vowel is /i/ was wrong."
"be","be_1","bak",1,"w-a(wɨ)-","1w","von1892bakairi[130, 400]","töre-wakine; wawí-le",
"say","say","bak",1,"u-ge-","1w","von1892bakairi[131]","u-ɣépa",
"say","say","bak",2,"mɨ-ge-","2sa","von1892bakairi[131]","miɣépa",
"say","say","bak",3,"∅-ke-",,"von1892bakairi[131]","kéle",
"say","say","bak","IMP","ke-kə",,"von1892bakairi[131]","kéka",
"go_down","go_down+?","bak",1,"k-ɨtə+gɨ-","k","von1892bakairi[137]","kχ-itaké-he",
"go","go","bak",1,"u-tə-","1w","von1892bakairi[374]","ū́ta",
"be","be_2","bak",1,"w-i-","1w","von1892bakairi[397]","wí-ta",
"come","DETRZ+come","bak",1,"k-ə+ewɨ-","k","von1892bakairi[76]","kχ-aewí-le",
"come","DETRZ+come","bak",2,"m-ə+ewɨ-","2sa","von1892bakairi[76]","maewile",
"come","DETRZ+come","bak",3,"∅-ə+wɨ-",,"von1892bakairi[76]","awíle",
"say","say","wai",3,"nɨ-ka-","3sa","waiwaihawkins1998[128]","nɨɨkaj",
"bathe_intr","DETRZ1+bathe_1","wai",1,"k-eje+ɸu-","k","waiwaihawkins1998[166]","k-eyepu",
"say","say","wai","IMP","kas-ko",,"waiwaihawkins1998[26]",,
"sleep",,"wai",1,"kɨ-wɨnɨkɨ-","k","waiwaihawkins1998[30]","kî-wînîkî-o, kîwînko",
"sleep",,"wai",3,"nɨ-wɨnɨkɨ-","3sa","waiwaihawkins1998[30]","nî-wînk-o",
"go","go","wai",3,"∅-tom-",,"waiwaihawkins1998[45]","tomo",
"go_down","go_down","wai",1,"?-hto-","?","waiwaihawkins1998[55]","nî-hto-y","Full form is third person."
"go","go","wai",2,"mɨ-to-","2sa","waiwaihawkins1998[58]","mɨɨt͡ʃe",
"say","say","wai",2,"mɨ-ka","2sa","waiwaihawkins1998[60]","mɨɨka",
"go","go","wai","IMP","eto-ko",,"waiwaihawkins1998[62]",,
"say","say","wai",1,"wɨ-ka-","1w","waiwaihawkins1998[71]","wîî-k-e-kn̂e",
"go","go","wai",1,"kɨ+w-tom-","k+1w","waiwaihawkins1998[85]","kî-wtom-o","The w could potentially also be a reflex of the Sa class marker *w-, rather than 1Sa *w-."
"go","go","way","IMP","ɨtə-k",,"wayanatavares2005[13]",,
"go","go","way","PTCP","tɨɨtəi",,"wayanatavares2005[185]",,"Underlying tɨ-w-ɨtə-i."
"go","go","way",1,"wɨ-təm-","1w","wayanatavares2005[195]","wïtëm",
"go","go","way",2,"mɨ-təm-","2sa","wayanatavares2005[195]",,
"go","go","way",3,"nɨ-təm-","3sa","wayanatavares2005[195]",,
"go","go","way","1+2","kup-təm-","kut","wayanatavares2005[195]",,
"say","say","way",1,"wɨ-ka-","1w","wayanatavares2005[195]","wïka",
"say","say","way",2,"mɨ-ka-","2sa","wayanatavares2005[195]",,
"say","say","way",3,"nɨ-ka","3sa","wayanatavares2005[195]",,
"say","say","way","1+2","kut-ke","kut","wayanatavares2005[195]","kutke","Maybe underlying kut-ka-he"
"talk",,"way",1,"w-əturu-","1w","wayanatavares2005[208]","w-ëtulu",
"talk",,"way",2,"m-əturu-","2sa","wayanatavares2005[208]","m-ëtulu",
"talk",,"way","1+2","k-əturu-","kut","wayanatavares2005[208]","k-ëtulu",
"talk",,"way",3,"n-əturu-","3sa","wayanatavares2005[219]","n-ëtulu",
"be","be_1","ikp",1,"–",,,,"The root am does not occur with first person."
"bathe_intr","DETRZ1+bathe_1","PPek",1,"w-i+pɨ-","1w",,,
"be","be_1","PPek",1,"w-ap-","1w",,,
"be","be_2","PPek",1,"w-et͡ʃi-","1w",,,
"come","come","PPek",1,"w-(əd-)epɨ-","1w",,,
"go","go","PPek",1,"w-ɨdən-","1w",,,
"go_down","go_down+?","PPek",1,"w-ɨptə(CV)-","1w",,,
"say","say","PPek",1,"wɨ-ge-","1w",,,
"bathe_intr","DETRZ1+bathe_1","PTir",1,"t͡ʃ-e+pɨ-","1t",,,
"bathe_intr","DETRZ1+bathe_1","PTir",2,"m-e+pɨ-","2sa",,,
"bathe_intr","DETRZ1+bathe_1","PTir",3,"n-e+pɨ-","3sa",,,
"bathe_intr","DETRZ1+bathe_1","PTir","1+2","ke-e+pɨ-","kut",,,
"be","be_1","PTir",1,"w-a-","1w",,,
"be","be_2","PTir",1,"w-eʔi-","1w",,,
"come","DETRZ+come","PTir",1,"w-əʔ+epɨ-","1w",,,
"go","go","PTir",1,"w-ɨtəmɨ-","1w",,,
"go_down","go_down","PTir",1,"p-ɨhtə-","tri1p",,,
"say","say","PTir",1,"wɨ-ka-","1w",,,
"sleep","DETRZ+sleep","PTir",1,"t-əə+nɨkɨ-","1t",,,
"sleep","DETRZ+sleep","PTir",2,"m-əə+nɨkɨ-","2sa",,,
"sleep","DETRZ+sleep","PTir",3,"n-əə+nɨkɨ-","3sa",,,
"sleep","DETRZ+sleep","PTir","1+2","kɨt-əə+nɨkɨ-","kut",,,
"bathe_intr","DETRZ1+bathe_1","PWai",1,"k-ee+ɸɨ-","k",,,"Werikyana has long e in this verb, assuming the same pattern for Proto-Waiwaian allows reconciling the divergent Waiwai and Hixkaryána forms."
"be","be_2","PWai",1,"w-eʃi-","1w",,,
"be","be_1","PWai",1,"w-ah-","1w",,,
"fall",,"PWai",1,"k-eɸurka-","k",,,
"fall",,"PWai",2,"m-eɸurka-","2sa",,,
"fall",,"PWai",3,"ɲ-eɸurka-","3sa",,,
"fall",,"PWai","1+2","t-eɸurka-","kut",,,
"go","go","PWai",1,"wɨ-tom-","1w",,,
"go_down","go_down","PWai",1,"?-hto-","?",,,
"say","say","PWai",1,"wɨ-ka-","1w",,,
"sleep",,"PWai",1,"kɨ-wɨnɨkɨ-","k",,,
"sleep",,"PWai",2,"o-wɨnɨkɨ-","2p",,,
"sleep",,"PWai",3,"nɨ-wɨnɨkɨ-","3sa",,,
"sleep",,"PWai","1+2","tɨt-wɨnɨkɨ-","kut",,,
"say","say","ebak",1,"u-ge-","1w","pinto2022bakairi[170]","u-ge-lɨ",
"say","say","ebak","1+2","kɨ-ke-","kut","meiraDBebakairi","kyke; kykeagi, kykeduo; kykely; kykenre; kykenwâ",
"say","say","ebak",2,"mɨ-ge-","2sa","meiraDBebakairi","myge",
"say","say","ebak",3,"∅-ke-",,"meiraDBebakairi","ke",
"bathe_intr","DETRZ1","ebak","1+2","k-i-","k","meiraDBebakairi","k-i-dâ",
"be","be_2","ebak","1+2","k-i-","k","meiraDBebakairi","k-i-dâ",
"come","DETRZ+come","ebak","1+2","kɨd-əe-","kut","meiraDBebakairi","kyd-âe-dâ",
"go_down","go_down","ebak",1,"∅-ɨtəgɨ-","1p","meiraDBebakairi","0-ytâgy-agi",
"go_down","go_down","wbak",1,"∅-itəge-","1p","meiraDBwbakairi","0-itâgue-ragui","<gue> is <ge> in published work."
"be","be_1","wbak",1,"w-a(wə)-","1w","meiraDBwbakairi; pinto2022bakairi[83]","w-awâ-li; u-a-to",
"be","be_2","wbak",1,"w-i-","1w","meiraDBwbakairi","w-i-dâ",
"bathe_intr","DETRZ1","wbak",1,"w-i-","1w","meiraDBwbakairi","w-i-tai",
"bathe_intr","DETRZ1+bathe_1","PXin",1,"w-i+bɨ-","1w",,,
"be","be_2","PXin",1,"w-et͡ʃi-","1w",,,
"come","come","PXin",1,"w-(od-)ebɨ-","1w",,,
"go","go","PXin",1,"w-ɨdon-","1w",,,
"go_down","go_down+?","PXin",1,"w-ipto+ŋ-","1w",,,
"say","say","PXin",1,"wɨ-ge-","1w",,,
"be","be_1","PXin",1,"w-ap-","1w",,,
