Form,Meaning,Count,% Sa,% Words
a,be-1,49,0.3006134969325153,0.0457943925233644
eʃi,be-2,30,0.1840490797546012,0.02803738317757
ka,say,26,0.1595092024539877,0.0242990654205607
ɨto,go,23,0.1411042944785276,0.0214953271028037
oepɨ,come,13,0.0797546012269938,0.0121495327102803
e-poreʔka,arrive,3,0.0184049079754601,0.002803738317757
ot-urupo,ask,2,0.0122699386503067,0.0018691588785046
ot-uʔ,eat,2,0.0122699386503067,0.0018691588785046
os-enakũnuʔ,choke,2,0.0122699386503067,0.0018691588785046
e-unopɨ,laugh,1,0.0061349693251533,0.0009345794392523
at-akĩma,pack bags,1,0.0061349693251533,0.0009345794392523
at-ankɨema,be happy,1,0.0061349693251533,0.0009345794392523
os-ereh,be_amazed,1,0.0061349693251533,0.0009345794392523
e-metɨka,lose loincloth,1,0.0061349693251533,0.0009345794392523
e-tuarima,suffer,1,0.0061349693251533,0.0009345794392523
e-puka,fall,1,0.0061349693251533,0.0009345794392523
os-eporɨ,meet,1,0.0061349693251533,0.0009345794392523
ot-ɨrɨʔka,land,1,0.0061349693251533,0.0009345794392523
ot-ɨʔka,finish,1,0.0061349693251533,0.0009345794392523
ot-uru,talk,1,0.0061349693251533,0.0009345794392523
at-apiaka,divide_up,1,0.0061349693251533,0.0009345794392523
e-sɨrɨʔma,move,1,0.0061349693251533,0.0009345794392523
