Language_ID,Form,,,,,,,
kar,ekupi,e,-,k,u,,p,i
mak,eʔhi,e,-,,,ʔ,h,i
kap,ekuʔpi,e,-,k,u,ʔ,p,i
pem,ekupɨ,e,-,k,u,,p,ɨ
