Language_ID,Form,,,
kax,ɨhɨ,ɨ,h,ɨ
hix,ɨhɨ,ɨ,h,ɨ
wai,pɨ,,p,ɨ
ara,ɨp,ɨ,p,
ikp,ɨp,ɨ,p,
bak,ɨ,,,ɨ
tri,pɨ,,p,ɨ
aku,pɨ,,p,ɨ
way,upɨ,u,p,ɨ
apa,pɨ,,p,ɨ
mak,ɨhɨ,ɨ,h,ɨ
pem,pɨ,,p,ɨ
pan,ɨpɨ,ɨ,p,ɨ
