Language,Form,,,,,,
Werikyana,eehɨ,ee,,,-,h,ɨ
Hixkaryána,ewehɨ,e,w,e,-,h,ɨ
Waiwai,ejeɸu,e,j,e,-,ɸ,u
Arara,ibɨ,i,,,-,b,ɨ
Ikpeng,ip,i,,,-,p,
Bakairi,i,i,,,,,
Tiriyó,epɨ,e,,,-,p,ɨ
Akuriyó,epɨ,e,,,-,p,ɨ
Wayana,epɨ,e,,,-,p,ɨ
Apalaí,epɨ,e,,,-,p,ɨ
